City,Abbr.,County,Alias_Abbr
Royal Palm Beach,FL,PALM BEACH,"Royal Palm Beach, FL"
Royal Palm Beach,FL,PALM BEACH,"Ryl Palm Bch, FL"
Greenacres,FL,PALM BEACH,"Greenacres, FL"
Lake Worth,FL,PALM BEACH,"Green Acres, FL"
Loxahatchee,FL,PALM BEACH,"Vlg Wellingtn, FL"
Loxahatchee,FL,PALM BEACH,"Village Of Wellington, FL"
Boynton Beach,FL,PALM BEACH,"Boynton Beach, FL"
Boca Raton,FL,PALM BEACH,"Boca Raton, FL"
Belle Glade,FL,PALM BEACH,"Belle Glade, FL"
Boynton Beach,FL,PALM BEACH,"Briny Breezes, FL"
Boynton Beach,FL,PALM BEACH,"Ocean Ridge, FL"
Boynton Beach,FL,PALM BEACH,"Golf, FL"
Boynton Beach,FL,PALM BEACH,"Vlg Of Golf, FL"
Boynton Beach,FL,PALM BEACH,"Village Of Golf, FL"
Canal Point,FL,PALM BEACH,"Bryant, FL"
Canal Point,FL,PALM BEACH,"Canal Point, FL"
Clewiston,FL,HENDRY,"Clewiston, FL"
Deerfield Beach,FL,BROWARD,"Deerfield Beach, FL"
Deerfield Beach,FL,BROWARD,"Deerfield Bch, FL"
Delray Beach,FL,PALM BEACH,"Delray Beach, FL"
Delray Beach,FL,PALM BEACH,"W Delray Bch, FL"
Delray Beach,FL,PALM BEACH,"West Delray Beach, FL"
Lake Worth,FL,PALM BEACH,"Lake Worth, FL"
Hobe Sound,FL,MARTIN,"Hobe Sound, FL"
Jupiter,FL,PALM BEACH,"Jupiter, FL"
Lake Harbor,FL,PALM BEACH,"Lake Harbor, FL"
Lake Worth,FL,PALM BEACH,"Lantana, FL"
Lake Worth,FL,PALM BEACH,"Village Of Palm Springs, FL"
Lake Worth,FL,PALM BEACH,"Atlantis, FL"
Lake Worth,FL,PALM BEACH,"Manalapan, FL"
Lake Worth,FL,PALM BEACH,"Hypoluxo, FL"
Boca Raton,FL,PALM BEACH,"National Enquirer, FL"
Jupiter,FL,PALM BEACH,"Tequesta, FL"
Jupiter,FL,PALM BEACH,"Jupiter Inlet, FL"
Jupiter,FL,PALM BEACH,"Jupiter Inlet Colony, FL"
LOX,FL,PALM BEACH,"Lox, FL"
Loxahatchee,FL,PALM BEACH,"Loxahatchee, FL"
Loxahatchee,FL,PALM BEACH,"Loxahatchee Groves, FL"
Loxahatchee,FL,PALM BEACH,"Lxhtchee Grvs, FL"
Moore Haven,FL,GLADES,"Moore Haven, FL"
Pahokee,FL,PALM BEACH,"Pahokee, FL"
Palm Beach,FL,PALM BEACH,"South Palm Beach, FL"
Palm Beach,FL,PALM BEACH,"Palm Beach, FL"
Palm Beach,FL,PALM BEACH,"S Palm Bch, FL"
Delray Beach,FL,PALM BEACH,"Gulf Stream, FL"
Boca Raton,FL,PALM BEACH,"Highland Beach, FL"
Boca Raton,FL,PALM BEACH,"Highland Bch, FL"
South Bay,FL,PALM BEACH,"South Bay, FL"
Boca Raton,FL,PALM BEACH,"Seta Corporation, FL"
Balm,FL,HILLSBOROUGH,"Balm, FL"
Brandon,FL,HILLSBOROUGH,"Brandon, FL"
Bushnell,FL,SUMTER,"Bushnell, FL"
Center Hill,FL,SUMTER,"Centerhill, FL"
Center Hill,FL,SUMTER,"Center Hill, FL"
Coleman,FL,SUMTER,"Coleman, FL"
Dade City,FL,PASCO,"Dade City, FL"
Dade City,FL,PASCO,"Ridge Manor, FL"
Crystal Springs,FL,PASCO,"Crystal Springs, FL"
Crystal Springs,FL,PASCO,"Crystal Spgs, FL"
Dade City,FL,PASCO,"Richland, FL"
Dover,FL,HILLSBOROUGH,"Dover, FL"
Durant,FL,HILLSBOROUGH,"Durant, FL"
Gibsonton,FL,HILLSBOROUGH,"Gibsonton, FL"
Lacoochee,FL,PASCO,"Lacoochee, FL"
Lake Panasoffkee,FL,SUMTER,"Lk Panasoffke, FL"
Lake Panasoffkee,FL,SUMTER,"Lake Panasoffkee, FL"
Zephyrhills,FL,PASCO,"Zephyrhills, FL"
Wesley Chapel,FL,PASCO,"Wesley Chapel, FL"
Lithia,FL,HILLSBOROUGH,"Lithia, FL"
Lutz,FL,HILLSBOROUGH,"Lutz, FL"
Mango,FL,HILLSBOROUGH,"Mango, FL"
Odessa,FL,HILLSBOROUGH,"Odessa, FL"
Plant City,FL,HILLSBOROUGH,"Plant City, FL"
Riverview,FL,HILLSBOROUGH,"Riverview, FL"
Sun City Center,FL,HILLSBOROUGH,"Sun City Center, FL"
Ruskin,FL,HILLSBOROUGH,"Ruskin, FL"
Ruskin,FL,HILLSBOROUGH,"Sun City Ctr, FL"
Apollo Beach,FL,HILLSBOROUGH,"Apollo Beach, FL"
Saint Leo,FL,PASCO,"Saint Leo, FL"
San Antonio,FL,PASCO,"San Antonio, FL"
Seffner,FL,HILLSBOROUGH,"Seffner, FL"
Sumterville,FL,SUMTER,"Sumterville, FL"
Sun City,FL,HILLSBOROUGH,"Sun City, FL"
Sydney,FL,HILLSBOROUGH,"Sydney, FL"
Thonotosassa,FL,HILLSBOROUGH,"Thonotosassa, FL"
Trilby,FL,PASCO,"Trilby, FL"
Valrico,FL,HILLSBOROUGH,"Valrico, FL"
Webster,FL,SUMTER,"Rdg Mnr Est, FL"
Webster,FL,SUMTER,"Ridge Manor Estates, FL"
Webster,FL,SUMTER,"Webster, FL"
Wimauma,FL,HILLSBOROUGH,"Wimauma, FL"
Tampa,FL,HILLSBOROUGH,"Tampa, FL"
Tampa,FL,HILLSBOROUGH,"Ybor City, FL"
Tampa,FL,HILLSBOROUGH,"University Of Tampa, FL"
Tampa,FL,HILLSBOROUGH,"Univ Of Tampa, FL"
Tampa,FL,HILLSBOROUGH,"Macdill AFB, FL"
Tampa,FL,HILLSBOROUGH,"Twn N Cntry, FL"
Tampa,FL,HILLSBOROUGH,"Town N Country, FL"
Tampa,FL,HILLSBOROUGH,"Temple Terr, FL"
Tampa,FL,HILLSBOROUGH,"Temple Terrace, FL"
Tampa,FL,HILLSBOROUGH,"Temple Ter, FL"
Tampa,FL,HILLSBOROUGH,"Carrollwood, FL"
Tampa,FL,HILLSBOROUGH,"Clair Mel, FL"
Tampa,FL,HILLSBOROUGH,"Clair Mel City, FL"
Tampa,FL,HILLSBOROUGH,"Univ Of So Florida, FL"
Tampa,FL,HILLSBOROUGH,"University Of South Florida, FL"
Tampa,FL,HILLSBOROUGH,"Usf, FL"
Tampa,FL,HILLSBOROUGH,"Univ Of S Fl, FL"
Tampa,FL,HILLSBOROUGH,"Northdale, FL"
Tampa,FL,HILLSBOROUGH,"Westchase, FL"
Tampa,FL,HILLSBOROUGH,"Palma Ceia, FL"
Tampa,FL,HILLSBOROUGH,"Tampa Brm Unique, FL"
Tampa,FL,HILLSBOROUGH,"Business Reply, FL"
Tampa,FL,HILLSBOROUGH,"Time Cs Brm Unique, FL"
Tampa,FL,HILLSBOROUGH,"Tampa Palms, FL"
Tampa,FL,HILLSBOROUGH,"Home Shopping Club, FL"
Tampa,FL,HILLSBOROUGH,"Bank Of America, FL"
Tampa,FL,HILLSBOROUGH,"Time Inc, FL"
Tampa,FL,HILLSBOROUGH,"Time Customer Service Inc, FL"
Saint Petersburg,FL,PINELLAS,"Saint Petersburg, FL"
Saint Petersburg,FL,PINELLAS,"St Petersburg, FL"
Saint Petersburg,FL,PINELLAS,"Saint Pete Beach, FL"
Saint Petersburg,FL,PINELLAS,"Pass A Grille, FL"
Saint Petersburg,FL,PINELLAS,"Treasure Is, FL"
Saint Petersburg,FL,PINELLAS,"St Pete Bch, FL"
Saint Petersburg,FL,PINELLAS,"Treasure Island, FL"
Saint Petersburg,FL,PINELLAS,"St Petersburg Beach, FL"
Saint Petersburg,FL,PINELLAS,"St Pete Beach, FL"
Saint Petersburg,FL,PINELLAS,"Pass A Grille Beach, FL"
Saint Petersburg,FL,PINELLAS,"Pasadena, FL"
Saint Petersburg,FL,PINELLAS,"S Pasadena, FL"
Saint Petersburg,FL,PINELLAS,"South Pasadena, FL"
Saint Petersburg,FL,PINELLAS,"Gulfport, FL"
Saint Petersburg,FL,PINELLAS,"Johns Pass, FL"
Saint Petersburg,FL,PINELLAS,"N Redngtn Bch, FL"
Saint Petersburg,FL,PINELLAS,"Redington Bch, FL"
Saint Petersburg,FL,PINELLAS,"Redington Shores, FL"
Saint Petersburg,FL,PINELLAS,"Redingtn Shor, FL"
Saint Petersburg,FL,PINELLAS,"Redington Beach, FL"
Saint Petersburg,FL,PINELLAS,"North Redington Beach, FL"
Saint Petersburg,FL,PINELLAS,"Madeira Beach, FL"
Saint Petersburg,FL,PINELLAS,"Kenneth City, FL"
Saint Petersburg,FL,PINELLAS,"Tierra Verde, FL"
Saint Petersburg,FL,PINELLAS,"Home Shopping, FL"
Saint Petersburg,FL,PINELLAS,"St Pete, FL"
Bay Pines,FL,PINELLAS,"Bay Pines, FL"
Clearwater,FL,PINELLAS,"Clearwater, FL"
Clearwater,FL,PINELLAS,"Belleair, FL"
Clearwater Beach,FL,PINELLAS,"Clearwater Beach, FL"
Clearwater,FL,PINELLAS,"Readers Digest, FL"
Largo,FL,PINELLAS,"Belleair Blf, FL"
Largo,FL,PINELLAS,"Belleair Bluffs, FL"
Largo,FL,PINELLAS,"Largo, FL"
Seminole,FL,PINELLAS,"Seminole, FL"
Pinellas Park,FL,PINELLAS,"Pinellas Park, FL"
Belleair Beach,FL,PINELLAS,"Indian Rks Beach, FL"
Indian Rocks Beach,FL,PINELLAS,"Indian Rocks Beach, FL"
Belleair Beach,FL,PINELLAS,"Indian Rk Bch, FL"
Belleair Beach,FL,PINELLAS,"Belleair Beach, FL"
Belleair Beach,FL,PINELLAS,"Belleair Bch, FL"
Indian Rocks Beach,FL,PINELLAS,"Indian Shores, FL"
Belleair Beach,FL,PINELLAS,"Belleair Shores, FL"
Belleair Beach,FL,PINELLAS,"Belleair Shrs, FL"
Lakeland,FL,POLK,"Lakeland, FL"
Lakeland,FL,POLK,"Gibsonia, FL"
Alturas,FL,POLK,"Alturas, FL"
Auburndale,FL,POLK,"Auburndale, FL"
Avon Park,FL,HIGHLANDS,"Avon Park, FL"
Babson Park,FL,POLK,"Babson Park, FL"
Bartow,FL,POLK,"Bartow, FL"
Bowling Green,FL,HARDEE,"Bowling Green, FL"
Bradley,FL,POLK,"Bradley, FL"
Davenport,FL,POLK,"Davenport, FL"
Dundee,FL,POLK,"Dundee, FL"
Eagle Lake,FL,POLK,"Eagle Lake, FL"
Eaton Park,FL,POLK,"Eaton Park, FL"
Fort Meade,FL,POLK,"Fort Meade, FL"
Frostproof,FL,POLK,"Frostproof, FL"
Haines City,FL,POLK,"Haines City, FL"
Highland City,FL,POLK,"Highland City, FL"
Homeland,FL,POLK,"Homeland, FL"
Intercession City,FL,OSCEOLA,"Intercession City, FL"
Intercession City,FL,OSCEOLA,"Intrcsion Cty, FL"
Kathleen,FL,POLK,"Kathleen, FL"
Lake Alfred,FL,POLK,"Lake Alfred, FL"
Lake Hamilton,FL,POLK,"Lake Hamilton, FL"
Lake Placid,FL,HIGHLANDS,"Lake Placid, FL"
Lake Wales,FL,POLK,"Lake Wales, FL"
Lakeshore,FL,POLK,"Lakeshore, FL"
Indian Lake Estates,FL,POLK,"Indian Lk Est, FL"
Indian Lake Estates,FL,POLK,"Indian Lake Estates, FL"
Nalcrest,FL,POLK,"Nalcrest, FL"
Lorida,FL,HIGHLANDS,"Lorida, FL"
Loughman,FL,POLK,"Loughman, FL"
Mulberry,FL,POLK,"Mulberry, FL"
Nichols,FL,POLK,"Nichols, FL"
Ona,FL,HARDEE,"Ona, FL"
River Ranch,FL,POLK,"River Ranch, FL"
Polk City,FL,POLK,"Polk City, FL"
Sebring,FL,HIGHLANDS,"Sebring, FL"
Wauchula,FL,HARDEE,"Wauchula, FL"
Waverly,FL,POLK,"Waverly, FL"
Winter Haven,FL,POLK,"Wahneta, FL"
Winter Haven,FL,POLK,"Winter Haven, FL"
Winter Haven,FL,POLK,"Eloise, FL"
JPV,FL,POLK,"Jpv, FL"
Winter Haven,FL,POLK,"Florence Villa, FL"
Winter Haven,FL,POLK,"Winter Hvn, FL"
Winter Haven,FL,POLK,"Cypress Gardens, FL"
Winter Haven,FL,POLK,"Cypress Gdns, FL"
Winter Haven,FL,POLK,"Florence Vill, FL"
Winter Haven,FL,POLK,"State Farm Ins, FL"
Zolfo Springs,FL,HARDEE,"Zolfo Springs, FL"
Davenport,FL,POLK,"Champions Gate, FL"
Davenport,FL,POLK,"Champions Gt, FL"
North Fort Myers,FL,LEE,"Ft Myers, FL"
FMY,FL,LEE,"Fmy, FL"
F M,FL,LEE,"F M, FL"
Fort Myers,FL,LEE,"Fort Myers, FL"
North Fort Myers,FL,LEE,"North Fort Myers, FL"
North Fort Myers,FL,LEE,"N Fort Myers, FL"
North Fort Myers,FL,LEE,"N Ft Myers, FL"
North Fort Myers,FL,LEE,"No Fort Myers, FL"
North Fort Myers,FL,LEE,"No Ft Myers, FL"
Cape Coral,FL,LEE,"Cape Coral, FL"
Fort Myers,FL,LEE,"Tice, FL"
Cape Coral,FL,LEE,"Cape Coral S, FL"
Cape Coral,FL,LEE,"Cape Coral South, FL"
Fort Myers,FL,LEE,"S Fort Myers, FL"
Fort Myers,FL,LEE,"San Carlos Park, FL"
Fort Myers,FL,LEE,"Miromar Lakes, FL"
North Fort Myers,FL,LEE,"North Ft Myers, FL"
Alva,FL,LEE,"Alva, FL"
Boca Grande,FL,LEE,"Boca Grande, FL"
Bokeelia,FL,LEE,"Bokeelia, FL"
Captiva,FL,LEE,"Captiva, FL"
El Jobean,FL,CHARLOTTE,"El Jobean, FL"
Estero,FL,LEE,"Estero, FL"
Felda,FL,HENDRY,"Felda, FL"
Fort Myers Beach,FL,LEE,"Ft Myers Bch, FL"
Fort Myers Beach,FL,LEE,"Ft Myers Beach, FL"
Fort Myers Beach,FL,LEE,"Fort Myers Beach, FL"
Labelle,FL,HENDRY,"Ft Denaud, FL"
Labelle,FL,HENDRY,"Labelle, FL"
Labelle,FL,HENDRY,"Fort Denaud, FL"
Labelle,FL,HENDRY,"La Belle, FL"
Lehigh Acres,FL,LEE,"Lehigh Acres, FL"
Lehigh Acres,FL,LEE,"Lehigh, FL"
Murdock,FL,CHARLOTTE,"Murdock, FL"
Palmdale,FL,GLADES,"Palmdale, FL"
Pineland,FL,LEE,"Pineland, FL"
Rotonda West,FL,CHARLOTTE,"Cape Haze, FL"
Placida,FL,CHARLOTTE,"Placida, FL"
Rotonda West,FL,CHARLOTTE,"Rotonda West, FL"
Punta Gorda,FL,CHARLOTTE,"Pt Charlotte, FL"
Port Charlotte,FL,CHARLOTTE,"Port Charlotte, FL"
Punta Gorda,FL,CHARLOTTE,"Punta Gorda, FL"
Port Charlotte,FL,CHARLOTTE,"Ft Charlotte, FL"
Saint James City,FL,LEE,"Saint James City, FL"
Saint James City,FL,LEE,"St James City, FL"
Sanibel,FL,LEE,"Sanibel, FL"
Venus,FL,HIGHLANDS,"Venus, FL"
Fort Myers,FL,LEE,"Florida Gulf Coast Univ, FL"
Lehigh Acres,FL,LEE,"Leehigh, FL"
Lehigh Acres,FL,LEE,"Leehigh Acres, FL"
Cape Coral,FL,LEE,"Matlacha Isle, FL"
Cape Coral,FL,LEE,"Matlacha Isles, FL"
Cape Coral,FL,LEE,"Matlacha, FL"
Fort Myers,FL,LEE,"E Fort Myers, FL"
Naples,FL,COLLIER,"Naples, FL"
Naples,FL,COLLIER,"Vanderbilt, FL"
Naples,FL,COLLIER,"Coco River, FL"
Naples,FL,COLLIER,"Golden Gate, FL"
Bonita Springs,FL,LEE,"Bonita Springs, FL"
Bonita Springs,FL,LEE,"Bonita Spgs, FL"
Bonita Springs,FL,LEE,"Barefoot Bch, FL"
Bonita Springs,FL,LEE,"Barefoot Beach, FL"
Bonita Springs,FL,LEE,"Bonita Beach, FL"
Copeland,FL,COLLIER,"Copeland, FL"
Chokoloskee,FL,COLLIER,"Chokoloskee, FL"
Everglades City,FL,COLLIER,"Everglades, FL"
Everglades City,FL,COLLIER,"Everglades City, FL"
Goodland,FL,COLLIER,"Goodland, FL"
Ochopee,FL,MIAMI-DADE,"Ochopee, FL"
Ochopee,FL,MIAMI-DADE,"Jerome, FL"
Immokalee,FL,COLLIER,"Ave Maria, FL"
Immokalee,FL,COLLIER,"Immokalee, FL"
Marco Island,FL,COLLIER,"Marco Island, FL"
Bradenton,FL,MANATEE,"University Pk, FL"
Bradenton,FL,MANATEE,"Braden River, FL"
Bradenton,FL,MANATEE,"University Park, FL"
Bradenton,FL,MANATEE,"Bradenton, FL"
Sarasota,FL,SARASOTA,"Lakewood Ranch, FL"
Sarasota,FL,SARASOTA,"Lakewood Rch, FL"
Bradenton,FL,MANATEE,"Cedar Hammock, FL"
Bradenton,FL,MANATEE,"West Bradenton, FL"
Bradenton,FL,MANATEE,"Bayshore Gardens, FL"
Bradenton,FL,MANATEE,"Samoset, FL"
Bradenton,FL,MANATEE,"Palma Sola, FL"
Bradenton,FL,MANATEE,"Brad, FL"
Bradenton,FL,MANATEE,"Bradington, FL"
Bradenton,FL,MANATEE,"B'ton, FL"
Cortez,FL,MANATEE,"Cortez, FL"
Anna Maria,FL,MANATEE,"Anna Maria, FL"
Holmes Beach,FL,MANATEE,"Bradenton Bch, FL"
Bradenton Beach,FL,MANATEE,"Bradenton Beach, FL"
Holmes Beach,FL,MANATEE,"Holmes Beach, FL"
Parrish,FL,MANATEE,"Parrish, FL"
Parrish,FL,MANATEE,"Duette, FL"
Palmetto,FL,MANATEE,"Palmetto, FL"
Palmetto,FL,MANATEE,"Rubonia, FL"
Ellenton,FL,MANATEE,"Ellenton, FL"
Englewood,FL,SARASOTA,"Englewood Beach, FL"
Englewood,FL,CHARLOTTE,"Inglewood, FL"
Englewood,FL,CHARLOTTE,"Englewood, FL"
Englewood,FL,CHARLOTTE,"Grove City, FL"
Longboat Key,FL,MANATEE,"Longboat Key, FL"
Longboat Key,FL,MANATEE,"Long Boat Key, FL"
Osprey,FL,SARASOTA,"Osprey, FL"
Sarasota,FL,MANATEE,"Sarasota, FL"
Sarasota,FL,SARASOTA,"Crescent Beach, FL"
Sarasota,FL,SARASOTA,"Siesta Key, FL"
Terra Ceia,FL,MANATEE,"Terra Ceia Is, FL"
Terra Ceia,FL,MANATEE,"Terra Ceia Island, FL"
Terra Ceia,FL,MANATEE,"Terra Ceia, FL"
Myakka City,FL,MANATEE,"Myakka City, FL"
Sarasota,FL,MANATEE,"Manasota, FL"
Oneco,FL,MANATEE,"Oneco, FL"
Arcadia,FL,DE SOTO,"Arcadia, FL"
Arcadia,FL,DE SOTO,"Lake Suzy, FL"
Arcadia,FL,DE SOTO,"Sidell, FL"
Fort Ogden,FL,DE SOTO,"Fort Ogden, FL"
Fort Ogden,FL,DE SOTO,"Ft Ogden, FL"
Nocatee,FL,DE SOTO,"Nocatee, FL"
Tallevast,FL,MANATEE,"Tallevast, FL"
Laurel,FL,SARASOTA,"Laurel, FL"
Nokomis,FL,SARASOTA,"Nokomis, FL"
Nokomis,FL,SARASOTA,"North Venice, FL"
Sarasota,FL,SARASOTA,"Pinecraft, FL"
Bradenton,FL,MANATEE,"Trailer Estates, FL"
Bradenton,FL,MANATEE,"Trailer Est, FL"
Venice,FL,SARASOTA,"Venice, FL"
North Port,FL,SARASOTA,"N Port, FL"
North Port,FL,SARASOTA,"North Port, FL"
North Port,FL,SARASOTA,"No Port, FL"
North Port,FL,SARASOTA,"Northport, FL"
Belleview,FL,MARION,"Belleview, FL"
Crystal River,FL,CITRUS,"Crystal River, FL"
Dunnellon,FL,CITRUS,"Dunnellon, FL"
Dunnellon,FL,CITRUS,"Citrus Spgs, FL"
Dunnellon,FL,CITRUS,"Citrus Springs, FL"
Floral City,FL,CITRUS,"Floral City, FL"
Hernando,FL,CITRUS,"Hernando, FL"
Hernando,FL,CITRUS,"Citrus Hills, FL"
Holder,FL,CITRUS,"Holder, FL"
Homosassa Springs,FL,CITRUS,"Homosassa Spg, FL"
Homosassa,FL,CITRUS,"Homosassa, FL"
Homosassa Springs,FL,CITRUS,"Homosassa Springs, FL"
Inglis,FL,LEVY,"Inglis, FL"
Inverness,FL,CITRUS,"Inverness, FL"
Lecanto,FL,CITRUS,"Lecanto, FL"
Beverly Hills,FL,CITRUS,"Beverly Hills, FL"
Beverly Hills,FL,CITRUS,"Pine Ridge, FL"
Ocala,FL,MARION,"Ocala, FL"
Ocala,FL,MARION,"Maricamp, FL"
Oxford,FL,SUMTER,"Oxford, FL"
Silver Springs,FL,MARION,"Silver Springs, FL"
Silver Springs,FL,MARION,"Silver Spgs, FL"
Summerfield,FL,MARION,"Summerfield, FL"
Yankeetown,FL,LEVY,"Yankeetown, FL"
Brooksville,FL,HERNANDO,"Brooksville, FL"
Brooksville,FL,HERNANDO,"Rolling Acres, FL"
Spring Hill,FL,HERNANDO,"Spring Hill, FL"
Brooksville,FL,HERNANDO,"Masaryktown, FL"
Brooksville,FL,HERNANDO,"Weeki Wachee, FL"
Spring Hill,FL,HERNANDO,"Hernando Bch, FL"
Spring Hill,FL,HERNANDO,"Hernando Beach, FL"
Spring Hill,FL,PASCO,"Shady Hills, FL"
Istachatta,FL,HERNANDO,"Istachatta, FL"
Land O Lakes,FL,PASCO,"Land O Lakes, FL"
Land O Lakes,FL,PASCO,"Land O' Lakes, FL"
New Port Richey,FL,PASCO,"New Pt Richey, FL"
New Port Richey,FL,PASCO,"New Port Richey, FL"
New Port Richey,FL,PASCO,"New Prt Rchy, FL"
New Port Richey,FL,PASCO,"Nw Prt Rchy, FL"
New Port Richey,FL,PASCO,"Seven Springs, FL"
New Port Richey,FL,PASCO,"Trinity, FL"
Ozona,FL,PINELLAS,"Ozona, FL"
Nobleton,FL,HERNANDO,"Nobleton, FL"
Port Richey,FL,PASCO,"Port Richey, FL"
Hudson,FL,PASCO,"Bayonet Point, FL"
Hudson,FL,PASCO,"Hudson, FL"
Oldsmar,FL,PINELLAS,"Oldsmar, FL"
Aripeka,FL,PASCO,"Aripeka, FL"
Elfers,FL,PASCO,"Elfers, FL"
Crystal Beach,FL,PINELLAS,"Crystal Beach, FL"
Palm Harbor,FL,PINELLAS,"Palm Harbor, FL"
Holiday,FL,PASCO,"Tarpon Spgs, FL"
Tarpon Springs,FL,PINELLAS,"Tarpon Springs, FL"
Holiday,FL,PASCO,"Tarpon Spngs, FL"
Holiday,FL,PASCO,"Holiday, FL"
Safety Harbor,FL,PINELLAS,"Safety Harbor, FL"
Dunedin,FL,PINELLAS,"Dunedin, FL"
Astatula,FL,LAKE,"Astatula, FL"
Clermont,FL,LAKE,"Clermont, FL"
Clermont,FL,LAKE,"South Clermont, FL"
Minneola,FL,LAKE,"Minneola, FL"
Montverde,FL,LAKE,"Montverde, FL"
Ferndale,FL,LAKE,"Ferndale, FL"
Fruitland Park,FL,LAKE,"Fruitland Pk, FL"
Fruitland Park,FL,LAKE,"Fruitland Park, FL"
Gotha,FL,ORANGE,"Gotha, FL"
Groveland,FL,LAKE,"Groveland, FL"
Yalaha,FL,LAKE,"Howey In Hls, FL"
Howey In The Hills,FL,LAKE,"Howey In The Hills, FL"
Kenansville,FL,OSCEOLA,"Kenansville, FL"
Killarney,FL,ORANGE,"Killarney, FL"
Oakland,FL,ORANGE,"Oakland, FL"
Kissimmee,FL,OSCEOLA,"Kissimmee, FL"
BVL,FL,OSCEOLA,"Bvl, FL"
Kissimmee,FL,OSCEOLA,"Buena Ventura Lakes, FL"
Kissimmee,FL,OSCEOLA,"Reunion, FL"
Kissimmee,FL,OSCEOLA,"Celebration, FL"
Leesburg,FL,LAKE,"Leesburg, FL"
Mascotte,FL,LAKE,"Mascotte, FL"
Kissimmee,FL,POLK,"Poinciana, FL"
Ocoee,FL,ORANGE,"Ocoee, FL"
Okahumpka,FL,LAKE,"Okahumpka, FL"
Saint Cloud,FL,OSCEOLA,"Saint Cloud, FL"
Saint Cloud,FL,OSCEOLA,"Magnolia Sq, FL"
Saint Cloud,FL,OSCEOLA,"Magnolia Square, FL"
Saint Cloud,FL,OSCEOLA,"Harmony, FL"
Winter Garden,FL,ORANGE,"Winter Garden, FL"
Winter Garden,FL,ORANGE,"Wintergarden, FL"
Wildwood,FL,SUMTER,"Wildwood, FL"
Windermere,FL,ORANGE,"Windermere, FL"
Leesburg,FL,LAKE,"Haines Creek, FL"
Yalaha,FL,LAKE,"Yalaha, FL"
Fort Pierce,FL,SAINT LUCIE,"Fort Pierce, FL"
Fort Pierce,FL,SAINT LUCIE,"Hutchinson Island, FL"
Fort Pierce,FL,SAINT LUCIE,"Hutchinson Is, FL"
Port Saint Lucie,FL,SAINT LUCIE,"Port Saint Lucie, FL"
Port Saint Lucie,FL,SAINT LUCIE,"Port St Lucie, FL"
Port Saint Lucie,FL,SAINT LUCIE,"Saint Lucie West, FL"
Port Saint Lucie,FL,SAINT LUCIE,"St Lucie West, FL"
Indiantown,FL,MARTIN,"Indiantown, FL"
Jensen Beach,FL,MARTIN,"Jensen Beach, FL"
Jensen Beach,FL,MARTIN,"Ocean Breeze Park, FL"
Jensen Beach,FL,MARTIN,"Ocean Brz Pk, FL"
Okeechobee,FL,OKEECHOBEE,"Basinger, FL"
Okeechobee,FL,OKEECHOBEE,"Okeechobee, FL"
Okeechobee,FL,OKEECHOBEE,"Yeehaw Junction, FL"
Okeechobee,FL,OKEECHOBEE,"Yeehaw, FL"
Palm City,FL,MARTIN,"Palm City, FL"
Port Salerno,FL,MARTIN,"Port Salerno, FL"
Stuart,FL,MARTIN,"Stuart, FL"
Stuart,FL,MARTIN,"Sewalls Point, FL"
Pohnpei,FM,FEDERATED STATES OF MICRO,"Pohnpei, FM"
Pohnpei,FM,FEDERATED STATES OF MICRO,"Pohnpei Caroline Islands, FM"
Pohnpei,FM,FEDERATED STATES OF MICRO,"Ponape, FM"
Chuuk,FM,FEDERATED STATES OF MICRO,"Truk, FM"
Chuuk,FM,FEDERATED STATES OF MICRO,"Chuuk, FM"
Chuuk,FM,FEDERATED STATES OF MICRO,"Chuuk Caroline Islands, FM"
Yap,FM,FEDERATED STATES OF MICRO,"Yap, FM"
Yap,FM,FEDERATED STATES OF MICRO,"Yap Caroline Islands, FM"
Kosrae,FM,FEDERATED STATES OF MICRO,"Kosae, FM"
Kosrae,FM,FEDERATED STATES OF MICRO,"Kosrae Caroline Islands, FM"
Kosrae,FM,FEDERATED STATES OF MICRO,"Kosrae, FM"
Avondale Estates,GA,DEKALB,"Avondale Est, GA"
Avondale Estates,GA,DEKALB,"Avondale Estates, GA"
Norcross,GA,GWINNETT,"Norcross, GA"
Norcross,GA,GWINNETT,"Rockbridge, GA"
Alpharetta,GA,FULTON,"Alpharetta, GA"
Alpharetta,GA,FULTON,"Milton, GA"
Duluth,GA,FULTON,"Johns Creek, GA"
Marietta,GA,COBB,"Marietta, GA"
Norcross,GA,GWINNETT,"Peachtree Corners, GA"
Auburn,GA,BARROW,"Auburn, GA"
Conyers,GA,ROCKDALE,"Conyers, GA"
Porterdale,GA,NEWTON,"Porterdale, GA"
Covington,GA,NEWTON,"Covington, GA"
Loganville,GA,WALTON,"Walnut Grove, GA"
Grayson,GA,GWINNETT,"Grayson, GA"
Jersey,GA,WALTON,"Jersey, GA"
Dacula,GA,GWINNETT,"Dacula, GA"
Clarkston,GA,DEKALB,"Clarkston, GA"
Suwanee,GA,GWINNETT,"Suwanee, GA"
Social Circle,GA,WALTON,"Social Circle, GA"
Duluth,GA,FULTON,"Duluth, GA"
North Metro,GA,GWINNETT,"North Metro, GA"
Cumming,GA,FORSYTH,"Cumming, GA"
Decatur,GA,DEKALB,"Decatur, GA"
Decatur,GA,DEKALB,"Belvedere, GA"
Decatur,GA,DEKALB,"Dunaire, GA"
